step,quarantined,accuracy
100,10,0.68
200,21,0.815
300,27,0.8733
400,28,0.905
500,28,0.924
600,29,0.9367
700,30,0.9457
800,30,0.9525
900,32,0.9578
1000,32,0.962
1100,33,0.9655
1200,35,0.9683
1300,35,0.9708
1400,36,0.9729
1500,37,0.9747
1600,38,0.9762
1700,38,0.9776
1800,38,0.9789
1900,38,0.98
2000,38,0.981
2100,38,0.9819
2200,38,0.9827
2300,38,0.9835
2400,39,0.9842
2500,39,0.9848
2600,39,0.9854
2700,39,0.9859
2800,39,0.9864
2900,39,0.9869
3000,39,0.9873
3100,39,0.9877
3200,39,0.9881
3300,39,0.9885
3400,39,0.9888
3500,39,0.9891
3600,39,0.9894
3700,39,0.9897
3800,39,0.99
3900,39,0.9903
4000,39,0.9905
4100,39,0.9907
4200,39,0.991
4300,39,0.9912
4400,39,0.9914
4500,39,0.9916
4600,39,0.9917
4700,39,0.9919
4800,39,0.9921
4900,39,0.9922
5000,39,0.9924
5100,39,0.9925
5200,39,0.9927
5300,39,0.9928
5400,39,0.993
5500,39,0.9931
5600,39,0.9932
5700,39,0.9933
5800,39,0.9933
5900,39,0.9934
6000,39,0.9935
6100,39,0.9936
6200,39,0.9937
6300,39,0.9938
6400,39,0.9939
6500,39,0.994
6600,39,0.9941
6700,39,0.9942
6800,39,0.9943
6900,39,0.9943
7000,39,0.9944
7100,39,0.9945
7200,39,0.9946
7300,39,0.9947
7400,39,0.9947
7500,39,0.9948
7600,39,0.9949
7700,39,0.9949
7800,39,0.995
7900,39,0.9949
8000,39,0.995
8100,39,0.9951
8200,39,0.995
8300,39,0.9951
8400,39,0.9951
8500,39,0.9952
8600,39,0.9952
8700,39,0.9953
8800,39,0.9953
8900,39,0.9954
9000,39,0.9954
9100,39,0.9955
9200,39,0.9955
9300,39,0.9956
9400,39,0.9956
9500,39,0.9957
9600,39,0.9957
9700,39,0.9958
9800,39,0.9958
9900,39,0.9959
10000,39,0.9959
